FU,Weeks
SKU_101,2018-11
SKU_101,2018-12
SKU_101,2018-13
SKU_101,2018-14
SKU_101,2018-15
SKU_101,2018-16
SKU_101,2018-17
SKU_101,2018-19
SKU_101,2018-20
SKU_101,2018-24
SKU_101,2018-26
SKU_101,2018-45
SKU_101,2018-48
SKU_101,2018-49
SKU_101,2018-50
SKU_101,2018-51
SKU_101,2018-52
SKU_103,2018-21
SKU_103,2018-22
SKU_103,2018-23
SKU_103,2018-24
SKU_103,2018-25
SKU_103,2018-26
SKU_103,2018-27
SKU_103,2018-28
SKU_103,2018-29
SKU_103,2018-31
SKU_103,2018-32
SKU_103,2018-33
SKU_103,2018-34
SKU_103,2018-35
SKU_103,2018-36
SKU_103,2018-37
SKU_103,2018-46
SKU_103,2018-47
SKU_103,2018-48
SKU_103,2018-49
SKU_103,2018-50
SKU_103,2018-51
SKU_103,2018-52
